token_id,gene_id
521,ENSMUSG00000003382
522,ENSMUSG00000003402
523,ENSMUSG00000003410
524,ENSMUSG00000003411
525,ENSMUSG00000003418
526,ENSMUSG00000003420
527,ENSMUSG00000003421
528,ENSMUSG00000003423
529,ENSMUSG00000003429
530,ENSMUSG00000003435
531,ENSMUSG00000003436
532,ENSMUSG00000003437
533,ENSMUSG00000003438
534,ENSMUSG00000003444
535,ENSMUSG00000003452
536,ENSMUSG00000003458
537,ENSMUSG00000003464
538,ENSMUSG00000003469
539,ENSMUSG00000003476
540,ENSMUSG00000003477
541,ENSMUSG00000003500
542,ENSMUSG00000003527
543,ENSMUSG00000003528
544,ENSMUSG00000003534
545,ENSMUSG00000003541
546,ENSMUSG00000003545
547,ENSMUSG00000003546
548,ENSMUSG00000003549
549,ENSMUSG00000003555
550,ENSMUSG00000003559
551,ENSMUSG00000003573
552,ENSMUSG00000003575
553,ENSMUSG00000003581
554,ENSMUSG00000003585
555,ENSMUSG00000003604
556,ENSMUSG00000003617
557,ENSMUSG00000003623
558,ENSMUSG00000003644
559,ENSMUSG00000003657
560,ENSMUSG00000003660
561,ENSMUSG00000003662
562,ENSMUSG00000003665
563,ENSMUSG00000003680
564,ENSMUSG00000003721
565,ENSMUSG00000003731
566,ENSMUSG00000003746
567,ENSMUSG00000003752
568,ENSMUSG00000003762
569,ENSMUSG00000003778
570,ENSMUSG00000003779
571,ENSMUSG00000003808
572,ENSMUSG00000003809
573,ENSMUSG00000003810
574,ENSMUSG00000003812
575,ENSMUSG00000003813
576,ENSMUSG00000003814
577,ENSMUSG00000003824
578,ENSMUSG00000003847
579,ENSMUSG00000003848
580,ENSMUSG00000003849
581,ENSMUSG00000003863
582,ENSMUSG00000003865
583,ENSMUSG00000003868
584,ENSMUSG00000003872
585,ENSMUSG00000003873
586,ENSMUSG00000003882
587,ENSMUSG00000003923
588,ENSMUSG00000003934
589,ENSMUSG00000003948
590,ENSMUSG00000003949
591,ENSMUSG00000003955
592,ENSMUSG00000003970
593,ENSMUSG00000003974
594,ENSMUSG00000003992
595,ENSMUSG00000004018
596,ENSMUSG00000004031
597,ENSMUSG00000004032
598,ENSMUSG00000004035
599,ENSMUSG00000004040
600,ENSMUSG00000004043
601,ENSMUSG00000004044
602,ENSMUSG00000004054
603,ENSMUSG00000004056
604,ENSMUSG00000004069
605,ENSMUSG00000004070
606,ENSMUSG00000004071
607,ENSMUSG00000004085
608,ENSMUSG00000004096
